Kelvin,Celcius,Density,Elastic Modulus,Poisson Ratio,Yield Strength,Ultimate Tensile Strength,CTE,Thermal Conductivity,Specific Heat,Electrical Resistivity
-6.84,-280,,,,,,,,,
13.16,-260,,78256.51449,0.316804707,,,,,,
33.16,-240,,78056.01751,0.31792006,,,,,,
53.16,-220,,77805.7636,0.31934497,,,,,,
73.16,-200,,77505.75276,0.321013937,,,,,,
93.16,-180,,77155.985,0.322858038,122.4048619,308.9209386,,,,
113.16,-160,,76756.4603,0.324804918,119.1073997,287.1933434,,,,
133.16,-140,,76307.17868,0.326778796,115.7152046,270.1742163,,0.084314216,613.2478518,
153.16,-120,,75808.14013,0.328700464,112.2282767,257.1823055,,0.091312513,655.9448133,
173.16,-100,,75259.34465,0.330487282,108.6466159,247.5363588,,0.097476121,693.56174,
193.16,-80,,74660.79224,0.332053188,104.9702221,240.5551243,,0.102922197,726.6578224,
213.16,-60,,74012.48291,0.333308685,101.1990955,235.55735,,0.107767897,755.7650902,
233.16,-40,,73314.41665,0.334160854,97.33323607,231.8617839,,0.112130377,781.3884121,
253.16,-20,,72566.59345,0.334513343,95,228.7871739,,0.116126794,804.0054956,
273.16,0,2.72E-06,71769.01334,0.334266377,95,225.6522682,2.19E-05,0.119874304,824.0668875,
293.16,20,2.72E-06,70921.67629,0.333316748,95,221.7758146,2.21E-05,0.123490062,841.9959735,
313.16,40,2.72E-06,70065.13303,,95,216.4765612,2.23E-05,0.127091227,858.1889782,
333.16,60,2.71E-06,69145.32604,,95,209.073256,2.25E-05,0.130794953,873.0149654,
353.16,80,2.71E-06,68012.5092,,95,198.884647,2.27E-05,0.134718398,886.8158378,
373.16,100,2.71E-06,66666.68253,,94.92062685,184.9029918,2.29E-05,0.138978717,899.9063371,
393.16,120,2.70E-06,65107.84601,,94.06687996,167.7955496,2.31E-05,0.143693067,912.5740442,
413.16,140,2.70E-06,63335.99966,,91.9727305,149.1752076,2.34E-05,0.148978604,925.0793788,
433.16,160,2.69E-06,61351.14346,,88.44607001,130.2959139,2.36E-05,0.154952485,937.6555997,
453.16,180,2.69E-06,59153.27743,,83.45594252,112.613311,2.38E-05,0.161731866,950.5088048,
473.16,200,2.69E-06,56742.40155,,77.13254462,97.78473601,2.40E-05,0.169433903,963.8179308,
493.16,220,2.68E-06,54118.51584,,70.21198688,89.27721542,2.42E-05,0.172614605,977.7347536,
513.16,240,2.68E-06,51281.62028,,64.12143259,81.84346279,2.44E-05,0.174218493,992.383888,
533.16,260,2.67E-06,48231.71489,,57.82675346,74.37164795,2.46E-05,0.175373782,1007.862788,
553.16,280,2.67E-06,44968.79965,,51.55935554,67.04823565,2.48E-05,0.176080473,1024.241746,
573.16,300,2.66E-06,41492.87458,,45.55064485,60.05969061,2.50E-05,0.176338566,1041.563895,
593.16,320,2.66E-06,37803.93966,,40.03202743,53.59247758,2.52E-05,0.176148061,1059.845205,
613.16,340,2.65E-06,33901.99491,,35.2349093,47.83306129,2.54E-05,0.175508958,1079.074486,
633.16,360,2.65E-06,29787.04032,,31.3906965,42.96790648,2.56E-05,0.174421256,1099.213388,
