Kelvin,Celcius,Density,Elastic Modulus,Poisson Ratio,Yield Strength,Ultimate Tensile Strength,CTE,Thermal Conductivity,Specific Heat,Electrical Resistivity
-6.84,-280,,,,,,,,,
13.16,-260,9.03E-06,136978.0054,0.337878785,34.49512161,425.0298918,,,1.940534981,
33.16,-240,9.03E-06,136860.3526,0.337861436,34.16913621,403.52698,,0.986181637,35.6740874,
53.16,-220,9.03E-06,136641.0998,0.337815853,33.84315081,383.1142827,,0.682893384,109.0600391,
73.16,-200,9.02E-06,136320.247,0.337742039,33.51716541,363.7917998,,0.494965118,180.682177,
93.16,-180,9.02E-06,135897.7942,0.337639991,33.19118001,345.5595313,,0.43083562,235.4984624,
113.16,-160,9.01E-06,135373.7414,0.33750971,32.86519461,328.4174771,,0.412377398,275.6285144,
133.16,-140,9.01E-06,134748.0886,0.337351196,32.53920921,312.3656374,,0.402682836,304.5818373,
153.16,-120,9.00E-06,134020.8358,0.33716445,32.21322381,297.4040121,,0.396117353,325.3468355,
173.16,-100,8.99E-06,133191.983,0.336949471,31.88723841,283.5326012,,0.392072947,340.3908135,
193.16,-80,8.98E-06,132261.5302,0.336706259,31.56125301,270.7514046,,0.38994162,351.6599759,
213.16,-60,8.97E-06,131229.4774,0.336434814,31.23526761,259.0604225,,0.38911537,360.5794273,
233.16,-40,8.97E-06,130095.8246,0.336135136,30.90928221,248.4596548,,0.388986197,368.0531726,
253.16,-20,8.96E-06,128860.5718,0.335807225,30.58329681,238.9491015,,0.388946102,374.4641166,
273.16,0,8.95E-06,127523.719,0.335451081,30.25731141,230.5287625,,0.388387084,379.6740642,
293.16,20,8.94E-06,126085.2662,0.335066705,29.93132601,223.198638,,0.386701143,383.0237206,
313.16,40,8.93E-06,124851.5049,,,,,0.386233566,385.1473183,
333.16,60,8.92E-06,123743.6962,,,,,0.385811115,387.6122548,
353.16,80,8.91E-06,122625.5485,,,,,0.385432057,390.0246706,
373.16,100,8.90E-06,121497.0617,,,,,0.385076051,392.38262,
393.16,120,8.89E-06,120358.2359,,,,,0.384725043,394.6845952,
413.16,140,8.89E-06,119209.071,,,,,0.384363165,396.9295264,
433.16,160,8.88E-06,118049.567,,,,,0.383976633,399.1167819,
453.16,180,8.87E-06,116879.724,,,,,0.383553647,401.2461681,
473.16,200,8.86E-06,115699.542,,,,,0.383084287,403.3179292,
493.16,220,8.85E-06,114509.0208,,,,,0.382560416,405.3327478,
513.16,240,8.84E-06,113308.1607,,,,,0.381975573,407.2917443,
533.16,260,8.83E-06,112096.9615,,,,,0.381324875,409.1964772,
553.16,280,8.82E-06,110875.4232,,,,,0.380604917,411.0489431,
573.16,300,8.81E-06,109643.5458,,,,,0.379813666,412.8515767,
593.16,320,8.80E-06,108401.3294,,,,,0.378950363,414.6072505,
613.16,340,8.79E-06,107148.774,,,,,0.378015419,416.3192753,
633.16,360,8.78E-06,105885.8795,,,,,0.377010318,417.9913999,
653.16,380,8.77E-06,104612.6459,,,,,0.37593751,419.627811,
673.16,400,8.76E-06,103329.0733,,,,,0.374800314,421.2331335,
693.16,420,8.75E-06,102035.1616,,,,,0.373602812,422.8124303,
713.16,440,8.74E-06,100730.9109,,,,,0.372349754,424.3712024,
733.16,460,8.73E-06,99416.3211,,,,,0.37104645,425.9153886,
753.16,480,8.72E-06,98091.39226,,,,,0.369698672,427.4513662,
773.16,500,8.71E-06,96756.12436,,,,,0.368312552,428.9859501,
793.16,520,8.70E-06,95410.51741,,,,,0.366894481,430.5263935,
813.16,540,8.69E-06,94054.57139,,,,,0.365451007,432.0803875,
833.16,560,8.67E-06,92688.28633,,,,,0.363988732,433.6560614,
853.16,580,8.66E-06,91311.66221,,,,,0.362514213,435.2619825,
873.16,600,8.65E-06,89924.69903,,,,,0.361033861,436.9071561,
893.16,620,8.64E-06,88527.39679,,,,,0.359553836,438.6010255,
913.16,640,8.63E-06,87119.7555,,,,,0.358079949,440.3534721,
933.16,660,8.62E-06,85701.77515,,,,,0.356617559,442.1748155,
953.16,680,8.61E-06,84273.45575,,,,,0.355171472,444.0758131,
973.16,700,8.60E-06,82834.79729,,,,,0.353745839,446.0676604,
993.16,720,8.59E-06,81385.79978,,,,,0.352344055,448.1619911,
1013.16,740,8.58E-06,79926.46321,,,,,0.350968658,450.3708768,
1033.16,760,8.56E-06,78456.78758,,,,,0.349621226,452.7068272,
1053.16,780,8.55E-06,76976.7729,,,,,0.348302278,455.1827901,
1073.16,800,8.54E-06,75486.41916,,,,,0.347011169,457.8121512,
1093.16,820,8.53E-06,73985.72636,,,,,0.345745993,460.6087344,
1113.16,840,8.52E-06,72474.69451,,,,,0.344503478,463.5868015,
1133.16,860,8.51E-06,70953.32361,,,,,0.343278886,466.7610525,
1153.16,880,8.49E-06,69421.61364,,,,,0.34206591,470.1466253,
1173.16,900,8.48E-06,67879.56462,,,,,0.340856577,473.759096,
1193.16,920,8.47E-06,66327.17655,,,,,0.339641141,477.6144787,
1213.16,940,8.46E-06,64764.44942,,,,,0.338407983,481.7292254,
1233.16,960,8.45E-06,63191.38323,,,,,0.337143514,486.1202263,
1253.16,980,,,,,,,0.335832066,490.8048096,
1273.16,1000,,,,,,,0.334455798,495.8007416,
1293.16,1020,,,,,,,0.332994589,501.1262266,
1313.16,1040,,,,,,,0.33142594,,
1333.16,1060,,,,,,,0.329724871,,
1353.16,1080,,,,,,,0.327863818,,
