Kelvin,Celcius,Density,Elastic Modulus,Poisson Ratio,Yield Strength,Ultimate Tensile Strength,CTE,Thermal Conductivity,Specific Heat,Electrical Resistivity
5,-268.16,0.00001,208207.1455,0.27953,,,0.00001,0.00037,2.36086,0.00048
25,-248.16,0.00001,209690.1273,0.27865,673.65124,1709.7997,0.00001,0.00283,20.66104,0.0005
45,-228.16,0.00001,211173.1091,0.27777,591.3268,1662.3876,0.00001,0.00522,76.37376,0.00052
65,-208.16,0.00001,212330.2964,0.27739,529.43287,1617.91088,0.00001,0.00702,158.0883,0.00053
85,-188.16,0.00001,212096.325,0.27823,483.95975,1558.9038,0.00001,0.00841,232.54021,0.00055
105,-168.16,0.00001,211398.3009,0.27914,450.89775,1476.74406,0.00001,0.00948,288.14695,0.00057
125,-148.16,0.00001,210373.965,0.28011,426.23717,1371.65274,0.00001,0.01032,326.94504,0.00058
145,-128.16,0.00001,209136.5294,0.28113,402.12229,1252.69432,0.00001,0.01102,354.38266,0.0006
165,-108.16,0.00001,207774.677,0.28219,377.32841,1150.37704,0.00001,0.01163,378.38017,0.00062
185,-88.16,0.00001,206352.5621,0.28329,354.87442,1067.94351,0.00001,0.01219,400.76342,0.00063
205,-68.16,0.00001,204909.81,0.28442,334.54907,991.22305,0.00001,0.01275,421.04657,0.00065
225,-48.16,0.00001,203461.5169,0.28557,316.14111,920.15198,0.00002,0.01331,438.74377,0.00066
245,-28.16,0.00001,201998.2503,0.28672,299.4393,854.66662,0.00002,0.01386,453.36917,0.00068
265,-8.16,0.00001,200486.0486,0.28787,284.23237,794.70332,0.00002,0.0144,464.43693,0.00069
285,11.84,0.00001,198866.4215,0.28902,270.30908,740.1984,0.00002,0.0149,470.51143,0.00071
305,31.84,0.00001,197061.9585,0.29033,257.45817,691.08819,0.00002,0.01548,471.85716,0.00073
325,51.84,0.00001,195276.9525,0.29197,245.4684,647.30902,0.00002,0.01605,473.34844,0.00074
345,71.84,0.00001,193491.9465,0.29362,232.83818,608.79723,0.00002,0.01663,474.98102,0.00076
365,91.84,0.00001,191706.9405,0.29526,220.51404,580.50131,0.00002,0.0172,476.75064,0.00077
385,111.84,0.00001,189921.9345,0.29691,209.13526,557.62934,0.00002,0.01777,478.65306,0.00078
405,131.84,0.00001,188136.9285,0.29855,198.66097,538.43115,0.00002,0.01835,480.68402,0.0008
425,151.84,0.00001,186351.9225,0.3002,189.05032,522.48146,0.00002,0.01892,482.83927,0.00081
445,171.84,0.00001,184566.9165,0.30184,180.26245,509.37412,0.00002,0.01949,485.11455,0.00083
465,191.84,0.00001,182781.9105,0.30349,172.25651,498.72203,0.00002,0.02006,487.50562,0.00084
485,211.84,0.00001,180996.9045,0.30513,164.99164,490.15723,0.00002,0.02064,490.00823,0.00086
505,231.84,0.00001,179211.8985,0.30678,158.42698,483.33082,0.00002,0.02121,492.61811,0.00087
525,251.84,0.00001,177426.8925,0.30842,152.52169,477.91303,0.00002,0.02178,495.33103,0.00088
545,271.84,0.00001,175641.8865,0.31007,147.2349,473.59314,0.00002,0.02236,498.14272,0.0009
565,291.84,0.00001,173856.8805,0.31171,142.52576,470.07958,0.00002,0.02293,501.04893,0.00091
585,311.84,0.00001,172071.8745,0.31336,138.35341,467.09983,0.00002,0.0235,504.04542,0.00092
605,331.84,0.00001,170286.8685,0.315,134.67699,464.4005,0.00002,0.02407,507.12793,0.00094
625,351.84,0.00001,168501.8625,0.31665,131.45566,461.74727,0.00002,0.02465,510.2922,0.00095
645,371.84,0.00001,166716.8565,0.31829,128.64854,458.92492,0.00002,0.02522,513.53399,0.00096
665,391.84,0.00001,164931.8505,0.31994,126.2148,455.73735,0.00002,0.02579,516.84905,0.00098
685,411.84,0.00001,163146.8445,0.32158,124.11357,452.00752,0.00002,0.02637,520.23312,0.00099
705,431.84,0.00001,161361.8385,0.32323,122.304,447.57751,0.00002,0.02694,523.68195,0.001
725,451.84,0.00001,159576.8325,0.32487,120.74523,442.3085,0.00002,0.02751,527.19128,0.00101
745,471.84,0.00001,157791.8265,0.32652,119.3964,436.08074,0.00002,0.02809,530.75687,0.00103
765,491.84,0.00001,156006.8205,0.32816,118.21666,428.7936,0.00002,0.02866,534.37447,0.00104
785,511.84,0.00001,154221.8145,0.3298,117.16515,420.36553,0.00002,0.02923,538.03981,0.00105
805,531.84,0.00001,152436.8085,0.33145,116.20103,410.73409,0.00002,0.0298,541.74866,0.00106
825,551.84,0.00001,150651.8025,0.33309,115.28342,399.85592,0.00002,0.03038,545.49675,0.00107
845,571.84,0.00001,148866.7965,0.33474,114.37148,387.70677,0.00002,0.03095,549.27983,0.00108
865,591.84,0.00001,147081.7905,0.33638,113.42435,374.28148,0.00002,0.03152,553.09366,0.0011
885,611.84,0.00001,145296.7845,0.33803,112.40117,359.59399,0.00002,0.0321,556.93398,0.00111
905,631.84,0.00001,143511.7785,0.33967,111.26109,343.67732,0.00002,0.03267,560.79654,0.00112
925,651.84,0.00001,141726.7725,0.34132,109.96325,326.5836,0.00002,0.03324,564.67708,0.00113
945,671.84,0.00001,139941.7665,0.34296,108.4668,308.38406,0.00002,0.03382,568.57136,0.00114
965,691.84,0.00001,138156.7605,0.34461,106.73087,289.16902,0.00002,0.03439,572.47512,0.00115
985,711.84,0.00001,136371.7545,0.34625,104.71463,269.04788,0.00002,0.03496,576.38411,0.00116
1005,731.84,0.00001,134586.7485,0.3479,102.3772,248.14917,0.00002,0.03553,580.29408,0.00117
1025,751.84,0.00001,132801.7425,0.34954,99.67773,226.62048,0.00002,0.03611,584.20078,0.00118
1045,771.84,0.00001,131016.7365,0.35119,96.57537,204.62853,0.00002,0.03668,588.09994,0.00119
1065,791.84,0.00001,129231.7305,0.35283,93.02926,182.3591,0.00002,0.03725,591.98733,0.0012
1085,811.84,0.00001,127446.7245,0.35448,88.99855,160.01709,0.00002,0.03783,595.85869,0.00121
1105,831.84,0.00001,125661.7185,0.35612,,,0.00002,0.0384,599.70977,0.00122
1125,851.84,0.00001,123876.7125,0.35777,,,0.00002,0.03897,603.53631,0.00123
1145,871.84,0.00001,122091.7065,0.35941,,,0.00002,0.03955,607.33406,0.00124
1165,891.84,0.00001,120306.7005,0.36106,,,0.00002,0.04012,611.09878,0.00125
1173,899.84,0.00001,119592.6981,0.36171,,,0.00002,0.04035,612.59446,0.00125
5,-268.16,0,206350.26,0.28,,,0,0,2.51,0
25,-248.16,0,207603.3,0.28,,1435.17,0,0,20.01,0
45,-228.16,0,208164.74,0.28,,1382.21,0,0.01,73.79,0
65,-208.16,0,208165.16,0.28,,1322.04,0,0.01,151.12,0
85,-188.16,0,207721.12,0.28,,1256.08,0,0.01,225,0
105,-168.16,0,206935.16,0.28,,1185.74,0,0.01,285.37,0
125,-148.16,0,205895.79,0.29,,1112.45,0,0.01,330.53,0
145,-128.16,0,204677.5,0.29,,1037.61,0,0.01,365.43,0
