Kelvin,Celcius,Density,Elastic Modulus,Poisson Ratio,Yield Strength,Ultimate Tensile Strength,CTE,Thermal Conductivity,Specific Heat,Electrical Resistivity
-6.84,-280,,,,,,,,,
13.16,-260,,,,,,,0.018815031,,
33.16,-240,,,,,,,0.040216715,,
53.16,-220,,,,,,,0.039355201,,
73.16,-200,,,,,,,0.035121784,,
93.16,-180,4.52E-06,121575.9788,,,,8.64E-06,0.031975157,,
113.16,-160,4.52E-06,120475.9776,,,,8.65E-06,0.029661218,332.5508616,
133.16,-140,4.52E-06,119349.7281,,,,8.66E-06,0.027960058,375.5199232,
153.16,-120,4.52E-06,118197.2304,,,,8.67E-06,0.026685955,409.9104053,
173.16,-100,4.51E-06,117018.4846,,,,8.69E-06,0.025687383,437.3147185,
193.16,-80,4.51E-06,115813.4906,,,,8.70E-06,0.024847004,459.1423898,
213.16,-60,4.51E-06,114582.2485,,,,8.72E-06,0.024081672,476.6200631,
233.16,-40,4.51E-06,113324.7581,,,,8.73E-06,0.023342432,490.7914986,
253.16,-20,4.50E-06,112041.0196,,,,8.75E-06,0.02261452,502.5175732,
273.16,0,4.50E-06,110731.0329,,,,8.77E-06,0.021917364,512.4762806,
293.16,20,4.50E-06,109402.1338,0.338315991,355.5866805,507.0611305,8.79E-06,0.021304583,521.1627306,
313.16,40,4.50E-06,108215.7396,0.339462097,324.0348729,474.0468726,8.80E-06,0.020863986,527.364073,
333.16,60,4.50E-06,107029.3454,0.34061657,295.4166605,440.4033094,8.82E-06,0.020560091,532.0832537,
353.16,80,4.49E-06,105842.9512,0.341782055,269.5144399,406.834388,8.84E-06,0.020138946,536.8349668,
373.16,100,4.49E-06,104656.557,0.342961196,246.1199026,373.9345356,8.86E-06,0.019777336,541.6109552,
393.16,120,4.49E-06,103470.1628,0.344156638,225.0340352,342.1955635,8.88E-06,0.019470278,546.4029624,
413.16,140,4.49E-06,102283.7686,0.345371027,206.0671186,312.0135711,8.91E-06,0.019213027,551.2027313,
433.16,160,4.48E-06,101097.3744,0.346607008,189.038729,283.6958498,8.93E-06,0.019001077,556.0020053,
453.16,180,4.48E-06,99910.98022,0.347867224,173.777737,257.4677876,8.95E-06,0.018830156,560.7925274,
